similarity;sentence1;sentence2
neutral;A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.;a lazy man relaxes with a beer
contradiction;A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.;The man is on a ladder hanging a sign.
contradiction;A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.;a man jumps from earth to the moon
contradiction;A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.;A woman is sitting and eating cake in a garden.
contradiction;A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.;two men sip wine together
entailment;A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.;a beer is held by a man in casual attire
entailment;A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.;A man is wearing a tank top.
neutral;A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.;a casually dressed man sits and waits for his wife
entailment;A man in shorts in a lawn chair sits surrounded with plants in a backyard.;There's a guy in a chair out in the yard.
contradiction;A man in shorts in a lawn chair sits surrounded with plants in a backyard.;A man in pants is standing up.
neutral;A man in shorts in a lawn chair sits surrounded with plants in a backyard.;There's a guy sleeping in a chair in the yard.
contradiction;A man in denim shorts and green shoes is sitting and relaxing in a lawn chair.;A man wears jean boxer briefs.
neutral;A man in denim shorts and green shoes is sitting and relaxing in a lawn chair.;A man wears cut off jean shorts.
entailment;A man in denim shorts and green shoes is sitting and relaxing in a lawn chair.;A man wears jean shorts.
entailment;Woman with blue gloves and floral shirt handling a large ceramic bowl in a ceramic shop.;The woman is holding a ceramic bowl.
neutral;Woman with blue gloves and floral shirt handling a large ceramic bowl in a ceramic shop.;The woman just made the bowl.
contradiction;Woman with blue gloves and floral shirt handling a large ceramic bowl in a ceramic shop.;The woman is wearing a plain, green shirt.
entailment;A little girl smiles as she slides down a tube on a sunny day.;A little girl slides down a tube.
contradiction;A little girl smiles as she slides down a tube on a sunny day.;A little girl is crying as she slides down a tube.
neutral;A little girl smiles as she slides down a tube on a sunny day.;A little girl slides down a tube at a park.
neutral;Two dogs chase another dog that has a ball.;The dogs are chasing each other after a long day cooped up in the house.
contradiction;Two dogs chase another dog that has a ball.;3 dogs are sitting in a dog shelter hoping someone will adopt them and play ball with them.
entailment;Two dogs chase another dog that has a ball.;The dogs all want the same ball.
entailment;A man wearing glasses is singing into a microphone.;A man sings into microphone
neutral;A man wearing glasses is singing into a microphone.;A man is performing on stage
contradiction;A man wearing glasses is singing into a microphone.;A man is dancing without a microphone
neutral;A bride and groom share a kiss.;A bride and a groom french kiss.
entailment;A bride and groom share a kiss.;A bride and a groom kiss.
contradiction;A bride and groom share a kiss.;A bride in a groom don't share a kiss.
neutral;A man in a blue shirt walking down the street.;A man is walking to his neighbor's house.
entailment;A man in a blue shirt walking down the street.;A man is walking outside.
contradiction;A man in a blue shirt walking down the street.;A man is walking around inside his house.
contradiction;Fans are cheering at a performance.;The fans are driving.
neutral;Fans are cheering at a performance.;All the fans like this performance the best.
entailment;Fans are cheering at a performance.;The performance has gotten the fans cheering.
neutral;Three soldiers are having a discussion in front of a playground, while others look on.;The soldiers are outdoors.
contradiction;Three soldiers are having a discussion in front of a playground, while others look on.;The soldiers are silent/
entailment;Three soldiers are having a discussion in front of a playground, while others look on.;The soldiers are having a discussion outdoors while others look.
neutral;A blond child is drinking from a garden hose.;The child is thirsty.
contradiction;A blond child is drinking from a garden hose.;The redhead is drinking from the garden hose.
entailment;A blond child is drinking from a garden hose.;The kid is using a garden hose for drinking.
contradiction;Several armed forces officers and civilians are standing around a children's playground.;Armed forces officers balance their guns on childrens heads at a playground.
neutral;Several armed forces officers and civilians are standing around a children's playground.;Civilians and armed forces officers trade insults at a playground
entailment;Several armed forces officers and civilians are standing around a children's playground.;Armed forces officers stand around a playground.
neutral;US troops keeping calm in a no fly zone at one of the crucial points in Tripoli, Libya.;A group of troops are getting ready to deploy from a plane.
