similitud; oración1; oración2
vinculación; Una mujer sentada en un banco en un parque en un día nublado; Hay una mujer en un banco afuera.
neutral; Una mujer sosteniendo la muñeca de una niña caminando por la calle.; Algunas personas caminando por la calle tomados de la mano escapando de la lluvia.
contradicción; Una mujer sosteniendo la muñeca de una niña caminando por la calle.; Algunas personas son holgazanes sentadas en la acera.
vinculación; Una mujer sosteniendo la muñeca de una niña caminando por la calle.; Algunas personas caminando por la calle.
contradicción; Una mujer sosteniendo la mano de una niña caminando a través de un puente.; Dos personas están sentadas en un banco.
neutral; Una mujer sosteniendo la mano de una niña caminando por un puente.; Una mujer y un niño corren por un puente.
vinculación; Una mujer sosteniendo la mano de una niña caminando a través de un puente.; Dos personas caminando a través de un puente.
contradicción; Una niña se balancea en un trozo de madera.; La niña está nadando en un lago.
vinculación; Una niña se balancea en un trozo de madera.; La niña está afuera.
neutral; Una niña se balancea en un trozo de madera.; La niña se balancea con un amigo.
contradicción; Una niña de cabello oscuro se balancea en un tronco colgante.; La niña tiene el cabello rojo.
vinculación; Una niña con cabello oscuro se balancea en un tronco colgante.; Una niña se balancea.
neutral; Una niña de cabello oscuro se balancea en un tronco colgante.; El tronco cuelga de una cuerda.
contradicción; un hombre con una alianza de boda está vertiendo un líquido blanco en una taza de líquido marrón.; el hombre está durmiendo en su cama
vinculación; Un hombre con una alianza de boda está vertiendo un líquido blanco en una taza de líquido marrón.; hay un hombre en esta imagen
neutral; un hombre con una alianza de boda está vertiendo un líquido blanco en una taza de líquido marrón.; el hombre se está preparando para tomar su café mientras lee el periódico
neutral; Un perro pequeño persigue a otro por la hierba.; La hierba está sana
contradicción; Un perro pequeño persigue a otro por la hierba.; No hay perros.
vinculación; Un perro pequeño persigue a otro por la hierba.; Hay dos perros
neutral; El bebé lleva una camiseta roja y camina en una plaza.; El bebé lleva una camiseta roja y camina con sus padres.
contradicción; El bebé está vestido con una remera roja y camina en una plaza.; El bebé está jugando solo en casa.
vinculación; El bebé lleva camisa roja y camina en una plaza.; El bebé camina en una plaza.
neutral; los monjes con túnicas rojas venden verduras en un mercado.; gente vestida con túnicas que venden verduras en el mercado
vinculación; los monjes con túnicas rojas venden verduras en un mercado.; los monjes que venden verduras en el mercado
contradicción; monjes con túnicas rojas venden verduras en un mercado.; gente caminando por la calle
contradicción; Un grupo de adolescentes sentados en el pasillo de la escuela.; Un grupo de adolescentes juega al tenis en el parque
neutral; Un grupo de adolescentes sentados en el pasillo de la escuela.; Un grupo de adolescentes está jugando a las cartas en el pasillo de la escuela.
vinculación; Un grupo de adolescentes sentados en el pasillo de la escuela.; Los adolescentes están sentados en el pasillo de la escuela
neutral; Un bebé en jeans y una chaqueta de invierno se sienta encima de un tobogán azul.; Un bebé en un tobogán de patio de
contradicción; Un bebé en jeans y una chaqueta de invierno se sienta encima de un tobogán azul.; Un hombre sentado en un sofá dormido
vinculación; Un bebé en jeans y una chaqueta de invierno se sienta en la parte superior de un tobogán azul.; Un bebé sentado en la parte superior de un tobogán
neutral; Una mujer con una camisa de flores está trabajando en una pieza de cerámica.; Las flores en su camisa son rojas
vinculación; Una mujer con una camisa de flores está trabajando en una pieza de cerámica.; Viste una camisa decorada
contradicción; Una mujer con una camisa de flores está trabajando en una pieza de alfarería.; Se come la alfarería
contradicción; dos personas suben unas escaleras hasta un puente; dos personas suben unas escaleras hasta un barco pirata.
neutral; Dos personas suben un conjunto de escaleras hacia un puente.; Dos personas están subiendo escaleras para saltar del puente.
vinculación; Dos personas suben unas escaleras hacia un puente.; Dos personas están afuera moviéndose.
contradicción; Hombre y mujer subiendo las escaleras hacia un paso elevado.; Un marido y una mujer están nadando en el océano.
vinculación; Hombre y mujer subiendo las escaleras hacia un paso elevado.; Dos personas están escalando.
neutral; Hombre y mujer subiendo las escaleras hacia un paso elevado.; Una pareja está visitando un parque estatal.
vinculación; 2 personas subiendo unas escaleras en la ciudad.; Gente subiendo escaleras.
neutral; 2 personas subiendo unas escaleras en la ciudad.; Gente subiendo escaleras de camino a casa.
contradicción; 2 personas subiendo unas escaleras en la ciudad.; Gente bajando escaleras.
neutral; Un hombre paseando a un perro y una niña suben las escaleras hacia un puente rojo en una ciudad.; Un hombre triste paseando a un perro y una niña suben las escaleras hacia un puente rojo en una ciudad.
vinculación; Un hombre paseando a un perro y una niña suben las escaleras a un puente rojo en una ciudad.; Una persona que pasea a un perro y una niña suben las escaleras a un puente rojo en una ciudad.
contradicción; Un hombre paseando a un perro y una niña suben las escaleras a un puente rojo en una ciudad.; Una mujer que pasea a un perro y una niña suben las escaleras a un puente rojo en una ciudad.
contradicción; Una pareja está subiendo las escaleras hacia un puente en una parte del centro de una ciudad.; Un niño sube los escalones por sí mismo junto a un puente.
vinculación; Una pareja está subiendo las escaleras hacia un puente en una parte del centro de la ciudad.; Dos personas caminando hacia un puente.
neutral; Una pareja está subiendo las escaleras hacia un puente en una parte del centro de la ciudad.; Una pareja sube escalones empinados hacia un gran puente azul.
vinculación; Un hombre con zapatos verdes salones al aire libre.; Un hombre se sienta al aire libre.
neutral; Un hombre con zapatos verdes salones al aire libre.; Un hombre se sienta a ajustar sus incómodos zapatos verdes.
contradicción; Un hombre con zapatos verdes salones al aire libre.; Un hombre se sienta en el interior.
contradicción; Un niño pequeño que aprende a nadar; Una mujer come un helado.
neutral; Un niño pequeño que aprende a nadar.; Un hombre le enseña a nadar a su hijo.
vinculación; Un niño pequeño que aprende a nadar.; Un niño aprende a nadar.
neutral; Un hombre con jeans recortados y zapatillas verdes se sienta con una pierna cruzada sobre la otra.; Un hombre lleva gafas de sol.
contradicción; Un hombre con jeans recortados y zapatillas verdes se sienta con una pierna cruzada sobre la otra.; Un hombre está descalzo.
vinculación; Un hombre con jeans recortados y zapatillas de deporte verdes se sienta con una pierna cruzada sobre la otra.; Un hombre está usando zapatos.
neutral; Un hombre con pantalones cortos, una camiseta sin mangas y zapatillas verdes sentado en un jardín con una cerveza.; Un hombre borracho está bebiendo en un jardín.
vinculación; Un hombre con pantalones cortos, una camiseta sin mangas y zapatillas de deporte verdes sentado en un jardín con una cerveza.; Un hombre vestido informalmente se sienta en el jardín
vinculación; Un hombre con pantalones cortos, una camiseta sin mangas y zapatillas verdes sentado en un jardín con una cerveza.; Un hombre está afuera.
vinculación; Un hombre con pantalones cortos, una camiseta sin mangas y zapatillas de deporte verdes sentado en un jardín con una cerveza.; Un individuo se sienta bebiendo una cerveza en un jardín.
neutral; Un hombre con pantalones cortos, una camiseta sin mangas y zapatillas de deporte verdes sentado en un jardín con una cerveza.; Un hombre está tratando de relajarse de la semana laboral
neutral; Un hombre con pantalones cortos, una camiseta sin mangas y zapatillas de deporte verdes sentado en un jardín con una cerveza.; Un hombre se está tomando un descanso de la limpieza de su jardín.
contradicción; Un hombre con pantalones cortos, una camiseta sin mangas y zapatillas de deporte verdes sentado en un jardín con una cerveza.; Un hombre lleva un botón
neutral; Un hombre con pantalones cortos, una camiseta sin mangas y zapatillas verdes sentado en un jardín con una cerveza.; Un hombre perezoso se relaja con una cerveza
contradicción; Un hombre con pantalones cortos, una camiseta sin mangas y zapatillas verdes sentado en un jardín con una cerveza.; El hombre está en una escalera colgando un cartel.
contradicción; un hombre con pantalones cortos, una camiseta sin mangas y zapatillas verdes sentado en un jardín con una cerveza.; un hombre salta de la tierra a la luna
contradicción; Un hombre con pantalones cortos, una camiseta sin mangas y zapatillas verdes sentado en un jardín con una cerveza.; Una mujer está sentada y comiendo pastel en un jardín.
contradicción; Un hombre con pantalones cortos, una camiseta sin mangas y zapatillas de deporte verdes sentado en un jardín con una cerveza.; Dos hombres beben vino juntos
vinculación; Un hombre con pantalones cortos, una camiseta sin mangas y zapatillas de deporte verdes sentado en un jardín con una cerveza.; Un hombre con ropa informal sostiene una cerveza.
